text,label
metti i linkin park,song
metti la canzone dei linkin park,song
metti la sinfonia numero 5 di beeethoven,song
riproduci la sinfonia numero 5 di beeethoven,song
fammi sentire la nuova canzone,song
metti la nuova canzone,song
riproduci naturalmente,naturalmente
metti la poop di shrek,naturalmente
metti naturalmente,naturalmente
metti la poop di shrek dove dice naturalmente,naturalmente
naturalmente,naturalmente
metti sei mostro di shrek,seimostro
sei mostro di shrek,seimostro
sei mostro,seimostro
metti la poop di shrek dove dice sei mostro,seimostro
riproduci assisi,assisi
riproduci il comando assisi,assisi
fai vedere come claudio pronuncia la s,assisi
metti l'audio di claudio che pronuncia la s,assisi
metti l'audio di claudio che non sa pronunciare la s,assisi
metti assisi,assisi
sono matto eh? brutta troia,sonomatto
brutta troia,sonomatto
sono matto?,sonomatto
finocchio,finocchio
sei un finocchio pezzo di merda,finocchio
metti sei un finocchio,finocchio
metti sporcizia,sporcizia
sporcizia,sporcizia
riproduci sporcizia,sporcizia